,genre,artist,track,popularity,danceability,instrumentalness,favorite,prediction
139,R&B,Olivia O'Brien,Love Myself,68,0.653,0.0,0,1
140,R&B,ELHAE,Needs,61,0.51,0.0,0,1
146,R&B,Beyoncé,Flawless Remix,69,0.639,8.33e-06,0,1
151,R&B,Tierra Whack,CLONES,61,0.7909999999999999,0.0182,0,1
161,R&B,Rihanna,Hate That I Love You,72,0.637,0.0,0,1
166,R&B,Nick Jonas,"Introducing Me - From ""Camp Rock 2: The Final Jam""",68,0.513,0.0,0,1
184,R&B,H.E.R.,2,61,0.794,0.0184,0,1
189,R&B,JP Saxe,The Few Things (with Charlotte Lawrence),67,0.536,5.88e-06,0,1
191,R&B,H.E.R.,I'm Not OK,60,0.535,1.7800000000000002e-05,0,1
208,R&B,Jagged Edge,Where the Party At,70,0.596,0.0,0,1
234,R&B,James Blake,Power On,65,0.649,0.0070599999999999994,0,1
246,R&B,Yo Trane,High off You,62,0.631,0.0,0,1
251,R&B,Monica,So Gone,63,0.618,0.0,0,1
252,R&B,Ne-Yo,Sexy Love,68,0.622,0.00047300000000000006,0,1
253,R&B,Mariah Carey,Caution,65,0.71,0.0,0,1
262,R&B,Bryson Tiller,Overtime,64,0.657,0.0,0,1
270,R&B,James Blake,Assume Form,65,0.413,0.000195,0,1
275,R&B,The Weeknd,All I Know,66,0.469,0.00018899999999999999,0,1
678,Alternative,Jhene Aiko,Triggered (freestyle),73,0.47100000000000003,0.0,0,1
1154,Alternative,Jhene Aiko,Sativa,70,0.741,0.0,0,1
1205,Alternative,Lifehouse,You And Me,73,0.456,0.0,0,1
1213,Alternative,Dominic Fike,Açaí Bowl,65,0.687,0.000367,0,1
1253,Alternative,The 1975,TOOTIMETOOTIMETOOTIME,69,0.667,0.015,0,1
1273,Alternative,James Blake,Mile High (feat. Travis Scott & Metro Boomin),67,0.754,6.22e-05,0,1
1313,Alternative,The Black Keys,Howlin' For You,65,0.705,0.0783,0,1
1359,Alternative,Sabrina Claudio,Belong to You (feat. 6LACK),65,0.605,0.0152,0,1
1380,Alternative,Dominic Fike,She Wants My Money,63,0.7040000000000001,0.000516,0,1
1401,Alternative,GoldLink,"U Say (feat. Tyler, The Creator & Jay Prince)",66,0.6940000000000001,0.00018700000000000002,0,1
1410,Alternative,Jhene Aiko,Never Call Me (feat. YG) - Remix,64,0.595,0.0,0,1
1455,Alternative,Frank Ocean,Skyline To,60,0.423,5.43e-06,0,1
1459,Alternative,Summer Walker,CPR,64,0.693,0.00335,0,1
1480,Alternative,Blood Orange,Dark & Handsome,65,0.584,0.0,0,1
1530,Alternative,Sabrina Claudio,Confidently Lost,63,0.6659999999999999,9.39e-06,0,1
1537,Alternative,Still Woozy,Wolfcat,60,0.667,0.000354,0,1
1555,Alternative,Dominic Fike,Rollerblades,60,0.5660000000000001,7.219999999999999e-05,0,1
1608,Alternative,Nirvana,All Apologies,63,0.447,0.000239,0,1
1609,Alternative,Nirvana,Where Did You Sleep Last Night,66,0.5379999999999999,0.00010400000000000001,0,1
1637,Alternative,Jakob Ogawa,Velvet Light,60,0.67,0.135,0,1
1638,Alternative,KAYTRANADA,CHANCES,63,0.835,0.00042300000000000004,0,1
1662,Alternative,Red Hot Chili Peppers,Soul to Squeeze,62,0.6629999999999999,0.000572,0,1
1731,Alternative,Kiana Ledé,EX - Remix,63,0.775,0.0,0,1
1741,Alternative,Daveed Diggs,The Election of 1800,57,0.731,0.0,0,1
1790,Alternative,Monte Booker,Mona Lisa,56,0.586,0.00372,0,1
1798,Alternative,BANKS,Sawzall,58,0.529,0.000181,0,1
1828,Alternative,Monte Booker,Kolors ft. Smino,55,0.715,2.07e-06,0,1
1852,Alternative,The Band Of Heathens,Hurricane,59,0.36200000000000004,0.0,0,1
1915,Alternative,Mila J,Kickin’ Back,61,0.7,0.0,0,1
1928,Alternative,Ab-Soul,The Law (feat. Mac Miller & Rapsody),61,0.7440000000000001,0.0,0,1
1951,Country,Johnny Cash,Rock Island Line,46,0.604,0.0,0,1
1973,Country,John Prine,I Have Met My Love Today,45,0.625,0.000266,0,1
2010,Country,Maggie Rose,Change the Whole Thing,53,0.7290000000000001,0.0,0,1
2513,Alternative,Adam Jensen,The Mystic,60,0.557,0.0,0,1
2530,Alternative,Chris Tomlin,How Great Is Our God,59,0.318,0.0,0,1
2534,Alternative,Radiohead,Fake Plastic Trees,67,0.45399999999999996,0.102,0,1
2560,Alternative,Freddie Gibbs,Situations,60,0.8109999999999999,2.88e-06,0,1
2562,Alternative,TWENTY88,Push It,58,0.617,6.88e-06,0,1
2566,Alternative,Tenacious D,Tribute,56,0.365,0.0008560000000000001,0,1
2604,Alternative,Zacari,Redemption (with Babes Wodumo),57,0.778,0.0274,0,1
